DATE,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
14-03-2019,294.6,290.45,291.15,1933895,8094
12-03-2019,289.75,285.3,286.5,2114120,9077
11-03-2019,288.5,283.3,286.8,1742960,9277
08-03-2019,284.2,279.8,281.25,2448108,7596
07-03-2019,282,277.65,281.15,2438806,7074
06-03-2019,282.2,275.55,277.65,1332335,6553
05-03-2019,277.5,271.2,276.05,2460449,7615
01-03-2019,274.4,270,272.95,1005936,6006
28-02-2019,270.95,267.5,269.75,658736,5165
27-02-2019,272.5,266.5,267.25,1174418,7453
26-02-2019,268.2,263.25,266.3,878518,5611
25-02-2019,271.45,268.15,270.2,564769,4206
22-02-2019,271.8,267.25,270.75,667047,4936
21-02-2019,270.9,267,267.55,755803,5296
20-02-2019,267.7,264.5,267.05,741933,6050
19-02-2019,267.25,260.5,262.5,916974,7997
18-02-2019,265.5,258.8,259.75,985624,9508
15-02-2019,269,261.3,262.95,926380,7180
14-02-2019,268.65,264,267.05,1325699,9278
13-02-2019,278,266.75,268.25,1558443,7588
12-02-2019,282.2,274.5,275.4,739466,5507
11-02-2019,286,279,279.8,616744,4908
08-02-2019,287.3,282.4,285.05,704422,6278
07-02-2019,294,286.85,287.6,1799597,10311
06-02-2019,288.9,283.6,288.2,911063,6387
05-02-2019,286.75,283,284.5,677418,4984
04-02-2019,284.85,278,283.6,1106833,7757
01-02-2019,302.35,282,284.3,4499756,26853
31-01-2019,294.5,287.75,293.35,1920682,13807
30-01-2019,290,280.4,287.5,1230092,6274
29-01-2019,286,276.6,280.75,795755,5080
28-01-2019,286.5,277.45,281.6,641526,5011
25-01-2019,291,283.25,285.25,498339,3725
24-01-2019,289.9,285.5,287.95,578602,4191
23-01-2019,294.7,285.4,286.5,578169,4138
22-01-2019,292.8,288.2,290.3,713849,3721
21-01-2019,296.75,291.1,292.35,1451832,4911
18-01-2019,299.7,294.2,295.2,1061221,3984
17-01-2019,304.5,295.4,297.35,2476004,8925
16-01-2019,306.4,302,302.75,1198578,6838
15-01-2019,303.6,300.55,301,1159145,4617
14-01-2019,303.4,299.45,300.5,1574072,5002
11-01-2019,306,301.1,302.55,1117724,6626
10-01-2019,307.2,302.95,304.65,1420815,9157
09-01-2019,306.95,300.85,305.05,1341992,8173
08-01-2019,305.8,294.7,305.1,1613023,11438
07-01-2019,301.35,294.65,295.7,996250,6037
04-01-2019,298.95,291.45,297.5,1642285,7780
03-01-2019,295.75,290.2,291.05,1648244,7225
02-01-2019,302.2,293.1,293.85,1691617,10836
01-01-2019,300.15,293.8,299.35,2978586,9574
