Date,Symbol,Series,PrevClose,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,DeliverableVolume,Deliverble
05-02-2008,KOTAKBANK,EQ,986.35,980,997,952.25,974.45,968.15,974.19,915445,8.91822E+13,,480765,0.5252
06-02-2008,KOTAKBANK,EQ,968.15,930,951,920,922,924.5,932.89,666102,6.21402E+13,,419311,0.6295
07-02-2008,KOTAKBANK,EQ,924.5,932,954,894,898,903.35,926.86,906496,8.40191E+13,,311923,0.3441
08-02-2008,KOTAKBANK,EQ,903.35,910,910,831,860.75,858.4,867.46,1201389,1.04216E+14,,599336,0.4989
11-02-2008,KOTAKBANK,EQ,858.4,868,894.6,775,800,797.4,818.3,1627349,1.33166E+14,,1031639,0.6339
12-02-2008,KOTAKBANK,EQ,797.4,805.1,860,763,825,818.1,794.63,1090712,8.6671E+13,,688844,0.6316
13-02-2008,KOTAKBANK,EQ,818.1,818.1,878,818.1,850,843.95,854.29,828907,7.08129E+13,,467167,0.5636
14-02-2008,KOTAKBANK,EQ,843.95,875.1,890,865,875,870.05,871.51,830235,7.2356E+13,,596365,0.7183
15-02-2008,KOTAKBANK,EQ,870.05,836.6,907.9,826.3,904,900.8,881.12,810074,7.13775E+13,,322254,0.3978
18-02-2008,KOTAKBANK,EQ,900.8,910,945,892,921,921.25,922.07,627252,5.78368E+13,,194371,0.3099
19-02-2008,KOTAKBANK,EQ,921.25,938.75,944,901.25,918.8,914.55,929.22,427962,3.97671E+13,,165141,0.3859
20-02-2008,KOTAKBANK,EQ,914.55,890,915,855,873,868.5,869.4,860331,7.47973E+13,,464801,0.5403
21-02-2008,KOTAKBANK,EQ,868.5,888,888,825,837.7,834.95,850.95,726959,6.18608E+13,,314173,0.4322
22-02-2008,KOTAKBANK,EQ,834.95,835,835,812,814.75,815.4,819.83,615635,5.04717E+13,,357866,0.5813
25-02-2008,KOTAKBANK,EQ,815.4,826,836.45,801,827.05,832.05,816.21,555239,4.53192E+13,,330573,0.5954
26-02-2008,KOTAKBANK,EQ,832.05,839.9,852.5,836,837.9,842.65,844.11,243608,2.05633E+13,,84095,0.3452
27-02-2008,KOTAKBANK,EQ,842.65,850.15,872,841.1,842,847.7,863.59,482866,4.16997E+13,,205185,0.4249
28-02-2008,KOTAKBANK,EQ,847.7,854,854.9,816,831.55,824.75,825.57,693917,5.72878E+13,,321061,0.4627
29-02-2008,KOTAKBANK,EQ,824.75,815,828.8,785,796,802.1,804.08,1046255,8.41276E+13,,539686,0.5158
